state_location,year,ie_ratio,abortion_per_1k_births,abortion_per_100k_pop,late_to_early,nonres_res_ratio,intrastate_score,interstate_score,within_between,pct_bachelors,total_population,prop_hisp,prop_nonwhite,hh_income,dem_2party
Alabama,2010,1.1242324043457723,341.16569525395505,428.62199920665074,0.09854638734501923,1.3858157680214278,4.666666666666666,6.170396651307472,med-high,23.847600631226502,4779736,0.04040976321704797,0.28375730375066743,40933,0.39109097246427327
Alabama,2011,1.1133259131842559,319.9784344778785,395.440935799148,0.10959224208435565,1.3772687445237202,4.666666666666666,6.210861391207827,med-high,24.69275867895006,4802740,0.04099035134110945,0.2859074195146937,42590,0.39109097246427327
Alabama,2012,1.1423951708526463,309.02682726526143,374.57307856059583,0.10466674789813574,1.419882100750268,5,6.40274650157289,med-high,26.220087962059935,4822023,0.04102697145990386,0.28785988785204886,43464,0.38783771466562295
Alabama,2013,1.1349270198827721,290.06137500644695,349.0477938118907,0.11732947063471161,1.4113191367729028,5,6.380148814589226,med-high,25.003056359264843,4833722,0.04150424869282925,0.28888008040181046,43199.06122448979,0.38783771466562295
Alabama,2014,1.034945054945055,270.40490054188683,331.34153108739537,0.10989010989010989,1.4162406015037594,5,6.450396210220025,med-high,25.665495175943363,4849377,0.041902083504747105,0.29051443102897545,42278,0.38783771466562295
Alabama,2015,0.82,196.54022160014753,241.30583811948972,0.12041785375118709,1.2882513661202186,5.166666666666667,6.586053906984492,med-high,26.565297497182684,4858979,0.04267727849821948,0.29167382695006505,44509,0.38783771466562295
Alabama,2016,0.916030534351145,223.24221061351454,271.5234511545658,0.12176997128863368,1.3900452488687782,5.166666666666667,6.785687173908821,med-high,27.220431235033338,4863300,0.0438804926695865,0.2914683445397158,47221,0.3562585640603926
Alabama,2017,0.7225983918747355,204.49262822144178,247.2538574822447,0.12674224121910427,1.3076775799349034,5.166666666666667,6.869576669069361,med-high,27.128271813578664,4874747,0.04487002094672811,0.2921608034222084,50865,0.3562585640603926
Alabama,2018,0.7215705283567619,223.29945811187477,263.87766780260773,0.12041785375118709,1.3644362969752521,5.166666666666667,7.143689766840397,med-high,27.893237777252427,4887871,0.04622810217372758,0.2925506831092719,49936,0.3562585640603926
Alabama,2019,0.6526198023494313,204.1968779322699,244.10663680852343,0.12331586826347306,1.408734151740793,5.166666666666667,7.1533835259750775,med-high,28.57960476729798,4903185,0.047391236512593346,0.2927860156204589,56200,0.3562585640603926
Arizona,2010,1.0194444444444444,260.6742343701773,356.74185472285194,0.06788487028971786,1.061940500949453,3,3.8200099037632187,low-low,25.284317702948528,6392017,0.3053981239411597,0.1292754696991576,46896,0.4568609928038368
Arizona,2011,1.084874551971326,335.97138281332195,443.34713201146775,0.08537782139352307,1.112303395560782,3,3.838861373046944,low-low,26.455927785201077,6482505,0.3064659417925632,0.13469731222729486,48621,0.4568609928038368
Arizona,2012,0.9938075930704018,307.84002961557593,406.05775297924464,0.09073042908614477,1.0268108766852007,4.666666666666666,3.969335552021497,med-low,27.521396108944852,6553255,0.3092954569904574,0.13520639743150542,47044,0.4538661977629681
Arizona,2013,0.9943874159958644,312.13785046728975,403.20682145237157,0.09802150890731468,1.0159197223479703,6.166666666666666,3.563813360003361,med-low,27.2998005900302,6626624,0.31202826658038846,0.1366718558348866,51217,0.4538661977629681
Arizona,2014,1.0025345622119817,296.93740145246124,383.27358424977314,0.09430438842203548,1.024005648387856,6.166666666666666,3.6417197966960586,med-low,27.61275874938991,6731484,0.31419015480093243,0.13962567540827553,49254,0.4538661977629681
Arizona,2015,1.0011753643629526,295.9074879028951,369.8851724463666,0.09676580247984046,1.0238801185992468,6.166666666666666,3.6691469278933386,med-low,27.403680860668665,6828065,0.3172761243485526,0.1410440586022541,52248,0.4538661977629681
Arizona,2016,0.9931146812763753,314.529105537151,383.54822797227155,0.08584005869405723,1.0185269552012148,7.166666666666666,3.5734247230947864,med-low,28.307844994812108,6931071,0.32011993528850013,0.1421474401286612,57100,0.4810997659896054
Arizona,2017,0.9985028760538964,305.45241352354896,356.4287007198982,0.1018021978021978,1.027237354085603,7.166666666666666,3.548445723593831,med-low,29.79849507247011,7016270,0.32364361690755916,0.14148628829848342,59700,0.4810997659896054
Arizona,2018,0.9756059298768531,307.22346790877447,345.80624866313815,0.09676580247984046,1.0061478725125383,7.166666666666666,3.684980710564287,med-low,29.865855183267932,7171646,0.3240498764160975,0.14759679995359498,62283,0.4810997659896054
Arizona,2019,0.9771692904573603,328.81889763779526,358.5796782592317,0.09809675526117213,1.0072291009766976,7.166666666666666,3.697897297211762,med-low,30.039881878178992,7278717,0.32673189519526585,0.14739369589448248,70674,0.4810997659896054
Arkansas,2010,0.8908611599297013,233.6792942397509,308.856421888407,0.1254346746150025,1.2875285750571501,7.833333333333333,6.506939685274052,high-high,21.674178731055534,2915918,0.06617984456353025,0.17954139999821672,38587,0.3982827938928274
Arkansas,2011,0.8500664262668438,206.68991347023115,272.3640979053969,0.15625,1.2713596366732898,7.833333333333333,6.644392030755752,high-high,23.036708213769703,2937979,0.06781770734236017,0.18136242634818012,41302,0.3982827938928274
Arkansas,2012,0.8079392877991827,195.92145409028086,254.7530102935407,0.15778186274509803,1.2353466230288606,7.833333333333333,6.9659792352638314,high-high,23.748479548675185,2949131,0.06949809960968163,0.18232964218951275,39018,0.3784559464877038
Arkansas,2013,0.9094650205761317,195.6544724043138,250.12054918389808,0.14311982837879253,1.3109584764283484,7.833333333333333,7.0161197574481475,high-high,23.50465592127406,2959373,0.0709386751855883,0.18394166602182282,39752.77551020408,0.3784559464877038
