state,year,within_score,surrounding_score
Alabama,2010,3.222222222222222,4.146541818172517
Alabama,2011,3.222222222222222,4.166922772990954
Alabama,2012,3.888888888888889,4.3356811953592675
Alabama,2013,3.888888888888889,4.476112931248324
Alabama,2014,3.888888888888889,4.565943748537515
Alabama,2015,3.9722222222222223,4.760086149588681
Alabama,2016,3.9722222222222223,4.867095631651682
Alabama,2017,3.9722222222222223,5.087855482187967
Alabama,2018,3.9722222222222223,5.324204618277968
Alabama,2019,3.9722222222222223,5.329310552287501
Arkansas,2010,5.972222222222221,4.147596084121143
Arkansas,2011,5.972222222222221,4.219014108077921
Arkansas,2012,5.972222222222221,4.5172471849763225
Arkansas,2013,5.972222222222221,4.5844042020351194
Arkansas,2014,6.638888888888888,4.830789510319296
Arkansas,2015,6.638888888888888,5.012649987590751
Arkansas,2016,6.888888888888889,5.0723509504428606
Arkansas,2017,6.888888888888889,5.118905143999614
Arkansas,2018,6.888888888888889,5.599093689393718
Arkansas,2019,6.888888888888889,5.60584343851504
Arizona,2010,2.0555555555555554,2.636317845314048
Arizona,2011,2.0555555555555554,2.6474924018089423
Arizona,2012,4.388888888888888,2.7571080031149986
Arizona,2013,5.138888888888888,2.563355667151069
Arizona,2014,5.138888888888888,2.689439448576277
Arizona,2015,5.138888888888888,2.7167990043359587
Arizona,2016,5.638888888888888,2.6849476317092984
Arizona,2017,5.638888888888888,2.6825976259910855
Arizona,2018,5.638888888888888,2.903316088997625
Arizona,2019,5.638888888888888,2.910988288399806
California,2010,1.7777777777777777,3.03885192244612
California,2011,1.7777777777777777,3.0509491811570912
California,2012,1.7777777777777777,3.539315560276882
California,2013,1.2777777777777777,3.681015483158059
California,2014,1.2777777777777777,3.7767632714349744
California,2015,1.2777777777777777,3.801239857402691
California,2016,1.2777777777777777,3.848397181497666
California,2017,1.2777777777777777,3.835134694165826
California,2018,1.2777777777777777,4.028125471402992
California,2019,1.2777777777777777,4.029838593594591
Colorado,2010,1.5277777777777777,3.489955983804336
Colorado,2011,1.5277777777777777,3.525911710605402
Colorado,2012,1.5277777777777777,3.908990473435234
Colorado,2013,1.5277777777777777,3.9528620800438126
Colorado,2014,1.5277777777777777,4.135324001169591
Colorado,2015,1.5277777777777777,4.1914889800300115
Colorado,2016,0.3611111111111111,4.243309069363279
Colorado,2017,0.3611111111111111,4.235433824472255
Colorado,2018,0.3611111111111111,4.580908939422587
Colorado,2019,0.3611111111111111,4.589683856566416
Connecticut,2010,1.9166666666666665,1.909607755829696
Connecticut,2011,1.9166666666666665,1.9131844432821672
Connecticut,2012,1.9166666666666665,1.9648132587970553
Connecticut,2013,1.4166666666666665,1.9736237455456938
Connecticut,2014,1.4166666666666665,1.9832914928694738
Connecticut,2015,1.4166666666666665,1.9873146613806645
Connecticut,2016,1.4166666666666665,1.920430053090518
Connecticut,2017,1.4166666666666665,1.92830808982527
Connecticut,2018,1.4166666666666665,2.1952149724284165
Connecticut,2019,1.4166666666666665,2.216472853871598
Delaware,2010,1.0277777777777777,2.4872287848130257
Delaware,2011,1.0277777777777777,2.5167889397697696
Delaware,2012,2.861111111111111,2.5879340067787995
Delaware,2013,2.861111111111111,2.5756864988101627
Delaware,2014,2.861111111111111,2.59279909301287
Delaware,2015,2.861111111111111,2.598095706819147
Delaware,2016,2.861111111111111,2.6074509308896023
Delaware,2017,2.861111111111111,2.620455243970447
Delaware,2018,2.861111111111111,2.724771525671676
Delaware,2019,2.861111111111111,2.731919444032054
Florida,2010,3.194444444444444,3.81993843661627
Florida,2011,3.194444444444444,3.850799298040993
Florida,2012,3.194444444444444,4.154057815142085
Florida,2013,3.194444444444444,4.204797431763179
Florida,2014,3.194444444444444,4.330466028557697
Florida,2015,3.444444444444444,4.398495720361799
Florida,2016,3.7777777777777777,4.4548877016699215
Florida,2017,3.444444444444444,4.671471868975956
Florida,2018,3.444444444444444,4.938587766277683
Florida,2019,3.444444444444444,4.950363541150674
Georgia,2010,4.194444444444445,3.9015859317273662
Georgia,2011,4.194444444444445,3.944859164897126
Georgia,2012,4.194444444444445,4.264878234491952
Georgia,2013,4.694444444444444,4.229228545529475
Georgia,2014,4.694444444444444,4.295848618140523
Georgia,2015,4.694444444444444,4.3882408975831275
Georgia,2016,4.694444444444444,4.504770941896519
Georgia,2017,5.361111111111111,4.677044723262538
Georgia,2018,5.361111111111111,4.881484554333059
Georgia,2019,5.361111111111111,4.891187012853087
Iowa,2010,2.083333333333333,3.5904631130414937
Iowa,2011,2.083333333333333,3.6646695920956067
Iowa,2012,2.083333333333333,4.0082322799861165
Iowa,2013,2.083333333333333,3.964090318591746
Iowa,2014,2.083333333333333,4.073490992205607
Iowa,2015,2.083333333333333,4.131228716583217
Iowa,2016,2.083333333333333,4.103153771099047
Iowa,2017,2.083333333333333,4.136163040004522
Iowa,2018,3.4166666666666665,4.488186564986691
Iowa,2019,3.4166666666666665,4.495272203612609
Idaho,2010,4.222222222222222,2.643878370689655
Idaho,2011,4.222222222222222,2.655407399477193
Idaho,2012,4.888888888888889,2.8631411538451235
Idaho,2013,4.888888888888889,2.7884798244017053
Idaho,2014,4.222222222222222,2.856013616179174
Idaho,2015,4.222222222222222,2.8751876751904435
Idaho,2016,4.222222222222222,2.8534034592440762
Idaho,2017,4.222222222222222,2.818432265217036
Idaho,2018,4.222222222222222,2.9858274310065163
Idaho,2019,4.222222222222222,2.9919384472549146
Illinois,2010,2.222222222222222,4.1880903928167585
Illinois,2011,2.222222222222222,4.219763364723876
Illinois,2012,2.222222222222222,4.921301422818437
Illinois,2013,1.722222222222222,4.95086149688959
Illinois,2014,1.8333333333333333,5.045942798627169
Illinois,2015,1.8333333333333333,5.163207373168825
Illinois,2016,1.8333333333333333,5.1542800110998055
Illinois,2017,1.8333333333333333,5.219704385430529
Illinois,2018,2.333333333333333,5.55797324719136
Illinois,2019,2.333333333333333,5.564600394709665
Indiana,2010,5.819444444444444,3.2512656253548107
Indiana,2011,5.819444444444444,3.2691173078084543
Indiana,2012,6.861111111111111,3.8279461441839975
Indiana,2013,6.861111111111111,3.7096256035870296
Indiana,2014,6.861111111111111,3.8243668431629922
Indiana,2015,7.361111111111111,3.8251182835270408
Indiana,2016,7.361111111111111,3.8578520025437464
Indiana,2017,7.361111111111111,3.9547303121714403
Indiana,2018,7.361111111111111,4.343415329766636
Indiana,2019,7.361111111111111,4.355124042617532
Kansas,2010,4.527777777777778,4.071550226371363
Kansas,2011,4.527777777777778,4.1852834128290715
Kansas,2012,6.805555555555555,4.45044929839598
Kansas,2013,8.305555555555555,4.4323849889665095
Kansas,2014,8.305555555555555,4.630445259270352
Kansas,2015,8.305555555555555,4.767261740218805
Kansas,2016,8.305555555555555,4.784663152605297
Kansas,2017,8.305555555555555,4.809136488294656
Kansas,2018,8.305555555555555,5.209187915989519
Kansas,2019,8.305555555555555,5.215156067960707
Kentucky,2010,3.6805555555555554,4.0464337789905205
Kentucky,2011,3.6805555555555554,4.067632859228279
Kentucky,2012,3.6805555555555554,4.639286964092557
Kentucky,2013,4.180555555555555,4.604731292342116
Kentucky,2014,4.180555555555555,4.675302305471316
Kentucky,2015,4.180555555555555,4.7647567164026
Kentucky,2016,4.180555555555555,4.87601626632882
Kentucky,2017,4.847222222222222,4.94864752273611
Kentucky,2018,4.847222222222222,5.263958770936366
Kentucky,2019,4.847222222222222,5.279593077352045
Louisiana,2010,6.138888888888888,3.987826058790742
Louisiana,2011,6.138888888888888,4.008736179456667
Louisiana,2012,6.138888888888888,4.212829738861217
Louisiana,2013,6.805555555555555,4.232693290073425
Louisiana,2014,6.805555555555555,4.642174136646608
Louisiana,2015,6.805555555555555,4.945323060207062
Louisiana,2016,7.305555555555555,4.995017203158702
Louisiana,2017,7.305555555555555,5.040514623697806
Louisiana,2018,7.305555555555555,5.696815704555217
Louisiana,2019,7.305555555555555,5.703864728892004
Massachusetts,2010,2.7222222222222223,2.0024483749427007
Massachusetts,2011,2.7222222222222223,2.0057300537891387
Massachusetts,2012,2.7222222222222223,2.079276951774762
Massachusetts,2013,2.7222222222222223,2.1168239540224634
Massachusetts,2014,2.7222222222222223,2.1291816517170576
Massachusetts,2015,2.7222222222222223,2.134300030982811
Massachusetts,2016,2.2222222222222223,2.1440681418025536
Massachusetts,2017,2.2222222222222223,2.1539531410376935
Massachusetts,2018,2.2222222222222223,2.285976698599262
Massachusetts,2019,2.2222222222222223,2.4271874293091305
Maryland,2010,2,3.350313843454602
Maryland,2011,2.111111111111111,3.3547595687046354
Maryland,2012,2.111111111111111,3.560387554160883
Maryland,2013,2.111111111111111,3.5441958225711776
Maryland,2014,2.111111111111111,3.579960687289903
Maryland,2015,2.111111111111111,3.588110265924975
Maryland,2016,2.111111111111111,3.613617828573615
Maryland,2017,2.111111111111111,3.6343366880098085
Maryland,2018,2.111111111111111,3.7336396813122557
Maryland,2019,2.111111111111111,3.745315742105563
Maine,2010,2.75,2.250470818856805
Maine,2011,2.75,2.2580909983144237
Maine,2012,2.75,2.392015379923471
Maine,2013,2.75,2.5404124356007247
Maine,2014,2.75,2.567444560968672
Maine,2015,2.75,2.5778587434189446
Maine,2016,2.75,2.4661765378746043
Maine,2017,2.75,2.484849365638099
Maine,2018,2.75,2.636257164203861
Maine,2019,2.75,2.6554351143176107
Michigan,2010,3.8055555555555554,3.54502746882437
Michigan,2011,3.8055555555555554,3.559462884863469
Michigan,2012,5.805555555555555,4.190941823022624
Michigan,2013,5.805555555555555,4.123028642202157
Michigan,2014,6.305555555555555,4.169211040508336
Michigan,2015,6.083333333333333,4.238144469440856
Michigan,2016,6.083333333333333,4.255781452428449
Michigan,2017,6.305555555555555,4.293917441835523
Michigan,2018,6.305555555555555,4.704235073129348
Michigan,2019,6.305555555555555,4.718251545815125
Minnesota,2010,3.4166666666666665,3.456049120730081
Minnesota,2011,3.4166666666666665,3.4977289851772744
Minnesota,2012,3.4166666666666665,3.8589091541586176
Minnesota,2013,3.4166666666666665,3.823294748934901
