state,year,abortion_per_1k_births,rate_nonres,rate_res,rate_late,rate_early,prop_late,res,nonres,abortions,births,abortion_per_100k_pop,pre13,post13,prop_nonres,within_score,surrounding_score,within_between,prop_bachelors,total_population,prop_hisp,prop_nonwhite,hh_income,dem_2party
Minnesota,2012,155.60111673355433,13.711975804106322,141.88914092944802,14.62804629791194,140.94398883266444,0.09400990561629755,9758,943,10701,68772,198.93518274950694,9693,1006,0.08812260536398467,5.5,5.765696790819478,med-med,0.3896211278277487,5379139,0.05168057564602811,0.1158261573088184,61795,0.5394122646169819
Minnesota,2013,143.2062349079657,12.623085932416604,130.58314897554908,14.93659538165676,128.18288292196243,0.10430129240710824,9031,873,9904,69159,182.71781683203022,8865,1033,0.08814620355411955,5.5,5.666343644040068,med-med,0.38846037909817904,5420380,0.05273523258516931,0.11941856475007284,61953.02040816327,0.5394122646169819
Minnesota,2014,144.81288624399176,13.504234378576333,131.30865186541544,14.205195696955826,130.60769054703593,0.09809345055813494,9179,944,10123,69904,185.49897538524067,9130,993,0.09325298824459152,5.5,5.800920913891302,med-med,0.39945920586493855,5457173,0.053660200986847956,0.1226737726658107,67244,0.5394122646169819
Minnesota,2015,141.2062892001031,13.789844488358106,127.41644471174499,13.4318526792107,127.7744365208924,0.09512219855998377,8898,963,9861,69834,179.63077050871155,8923,938,0.09765743839367204,5.5,5.83560573970157,med-med,0.4044713742838198,5489594,0.05470951039366481,0.12644213761527723,68730,0.5394122646169819
Minnesota,2016,143.6149622216806,12.946422170927182,130.66854005075342,14.79591105248821,128.8190511691924,0.10302485774183888,9114,903,10017,69749,181.46896929538516,8985,1032,0.09014675052410902,5,5.768430629340952,med-med,0.4037122173327887,5519952,0.0558437826995597,0.1286875320654962,70218,0.5083169370718048
Minnesota,2017,147.7367155040455,13.674466068955464,134.06224943509002,13.747357679131133,133.26044172315767,0.09305308861259128,9196,938,10134,68595,181.72343536552518,9141,943,0.09255970001973554,5,5.796301618510276,med-med,0.42048838306428493,5576606,0.056936602657602135,0.13419631941004972,69975,0.5083169370718048
Minnesota,2018,147.15490615348065,15.057020669992873,132.09788548348777,13.572107388928488,131.3257305773343,0.09223007063572149,8896,1014,9910,67344,176.61172455913456,8844,914,0.10232088799192735,5,6.325649397674099,med-high,0.4270134981749292,5611179,0.0581359104744297,0.13639878535330985,71817,0.5083169370718048
Minnesota,2019,150.54447423023913,13.449043573083738,137.0954306571554,14.781831674920866,133.62715252851106,0.09818913480885312,9052,888,9940,66027,176.25263492369714,8823,976,0.08933601609657947,5,6.338510371386489,med-high,0.43485287190572725,5639632,0.05915971113008792,0.13834590625771326,81426,0.5083169370718048
Mississippi,2010,57.37336397242482,1.1489659306624038,56.22439804176241,NA,NA,NA,2251,46,2297,40036,77.41051873135719,NA,NA,0.02002612102742708,6.833333333333333,6.214592450382572,med-high,0.20879436380416996,2967297,0.028870045701525664,0.38806496282643765,38160,0.43358069007136163
Mississippi,2011,55.79528349222278,1.1038635223281485,54.69141996989463,NA,NA,NA,2180,44,2224,39860,74.6681564485891,NA,NA,0.019784172661870502,6.833333333333333,6.259973628948188,med-high,0.21374436840791775,2978512,0.0294120016974919,0.38986010464285525,41090,0.43358069007136163
Mississippi,2012,56.27246631668779,1.6550725387261116,54.61739377796168,4.060099821562492,52.13478496987251,0.07215073529411764,2112,64,2176,38669,72.89962967256139,2016,157,0.029411764705882353,6.833333333333333,6.495389112576228,med-high,0.2223377101807752,2984926,0.02950156888311469,0.3909480503034246,36641,0.4419810080121222
Mississippi,2013,56.16814205104312,1.397732567168815,54.77040948387431,4.426153129367914,51.664337112388054,0.07880184331797235,2116,54,2170,38634,72.54596555838496,1996,171,0.02488479262672811,6.833333333333333,6.525027082000193,med-high,0.2189506020779296,2991207,0.030185807936394908,0.3927207311296076,38244.28571428571,0.4419810080121222
Mississippi,2014,59.45373812474185,2.1685254027261465,57.2852127220157,4.98244527054936,54.264766625361425,0.08380373425966131,2219,84,2303,38736,76.9184781029492,2102,193,0.0364741641337386,6.833333333333333,6.644829015963993,med-high,0.24019375559416628,2994079,0.031025567461646805,0.394257800144886,35521,0.4419810080121222
Mississippi,2015,68.05750898577904,3.490128665937386,64.56738031984165,4.505912382143044,63.551596603635986,0.06620742441637964,2479,134,2613,38394,87.32316891201614,2440,173,0.05128205128205128,7.833333333333333,6.727110356518703,high-high,0.22698772494056307,2992333,0.031825669135086235,0.39557061329738363,40037,0.4419810080121222
Mississippi,2016,67.73360050622232,4.244885045349083,63.48871546087324,5.563172326513394,62.17042817970893,0.08213312572985597,2408,161,2569,37928,85.95635732415751,2358,211,0.06267029972752043,7.833333333333333,6.984126990747288,high-high,0.2343794280200827,2988726,0.032592817140146,0.3959657057890218,41099,0.4091015267593994
Mississippi,2017,69.43812404636347,3.399630591321573,66.03849345504189,5.300211473084027,64.13791257327944,0.07632999228989977,2467,127,2594,37357,86.92738179015448,2396,198,0.048959136468774096,7.833333333333333,7.001215453678944,high-high,0.227288581999871,2984100,0.033730437988003084,0.39567675346000464,43281,0.4091015267593994
Mississippi,2018,81.21621621621621,8.567567567567568,72.64864864864865,5.486486486486487,75.72972972972973,0.0675540765391015,2688,317,3005,37000,100.61844347788235,2802,203,0.10549084858569052,7.833333333333333,7.272040218949654,high-high,0.2525630634660828,2986530,0.03446809508024363,0.39858799342380624,42781,0.4091015267593994
Mississippi,2019,87.18200676929796,9.144011354951413,78.03799541434654,5.131564581286166,82.05044218801179,0.058860363180964305,2859,335,3194,36636,107.31989561006523,3006,188,0.10488415779586725,7.833333333333333,7.280287420379202,high-high,0.22683972766329472,2976149,0.035289899800043614,0.3976998463450586,44787,0.4091015267593994
Missouri,2010,80.29025912270873,6.904727784364049,73.38553133834469,7.386755950442294,72.87744759572168,0.0920006490345611,5633,530,6163,76759,102.90658076146194,5594,567,0.08599707934447509,7.666666666666666,5.650706698203727,high-med,0.3028380680365243,5988927,0.03755831386824384,0.14060231490549147,45817,0.4993242085032335
Missouri,2011,75.83062916299906,6.135291721954359,69.6953374410447,8.697137301785409,67.10721652193334,0.1146916146916147,5305,467,5772,76117,96.02894044741635,5108,662,0.08090783090783091,8.666666666666666,5.667587785429114,high-med,0.3059846604342166,6010688,0.03835501027503008,0.14267185387097114,45774,0.4993242085032335
Missouri,2012,74.54338202157835,6.070567028073059,68.4728149935053,8.416615857699547,66.06049359807014,0.11290896159317212,5166,458,5624,75446,93.39108613301786,4984,635,0.0814366998577525,8.666666666666666,6.091279887320263,high-high,0.3109271273261862,6021988,0.03922807551260481,0.14308530671266695,49764,0.45221333246620027
Missouri,2013,71.9294517637059,5.724075648108797,66.2053761155971,8.141202719932002,63.7882490437739,0.11318316100443132,4985,431,5416,75296,89.60699490467758,4803,613,0.07957902511078287,8.666666666666666,6.109891518768395,high-high,0.31812865420482406,6044171,0.04006388965500811,0.14478495065741848,49084.06122448979,0.45221333246620027
Missouri,2014,67.1443736730361,5.878450106157112,61.26592356687898,8.479299363057326,58.66507430997877,0.12628458498023715,4617,443,5060,75360,83.44892768952512,4421,639,0.0875494071146245,8.666666666666666,6.276513533720898,high-high,0.32793775599980923,6063589,0.04099502786221164,0.14624671955833413,56630,0.45221333246620027
Missouri,2015,63.48170154940647,6.0484139566485915,57.433287592757885,8.246626077457002,55.23507547194948,0.12990556138509968,4311,454,4765,75061,78.32440670700196,4146,619,0.09527806925498426,9,6.357371915358606,high-high,0.32834539329458773,6083672,0.041975635767345774,0.14784771434094413,59196,0.45221333246620027
Missouri,2016,61.06686299444482,5.488253798273208,55.57860919617161,8.580416304129576,52.48644669031524,0.14050854888206926,4152,410,4562,74705,74.8728048580338,3921,641,0.08987286277948268,9,6.423020175653271,high-high,0.3346740160752081,6093000,0.043068439192516,0.14765468570490725,55016,0.40181439004433933
Missouri,2017,53.44086315962428,5.216748363775776,48.22411479584851,8.393351041980447,45.02012761179724,0.15705867281578273,3522,381,3903,73034,63.8419820162878,3288,613,0.09761721752498079,9,6.457376522407476,high-high,0.33646323888931773,6113532,0.044124084081018956,0.14864549658037285,56530,0.40181439004433933
Missouri,2018,39.716660524915035,3.616809291787795,36.09985123312724,7.1926735727251625,32.52398695218987,0.1810996563573883,2645,265,2910,73269,47.4989439238241,2383,527,0.09106529209621993,9,6.871572351150104,high-high,0.3468021205360705,6126452,0.045203488087395445,0.14898868056095105,61726,0.40181439004433933
Missouri,2019,20.394581779361406,1.7746474967765193,18.619934282584886,5.323942490329558,15.070639289031847,0.2610469068660775,1343,128,1471,72127,23.967694610836983,1087,384,0.08701563562202583,9,6.885433372064154,high-high,0.3554892107372251,6137428,0.046237609630614,0.14908834775739932,60597,0.40181439004433933
Montana,2010,179.1044776119403,22.22222222222222,156.88225538971807,12.106135986733001,166.66666666666666,0.06759259259259259,1892,268,2160,12060,218.31082003001774,2010,146,0.12407407407407407,2.5,4.610936086285361,low-med,0.3149758085699518,989415,0.031673261472688403,0.07576295083458406,41280,0.4883059671605927
Montana,2011,177.89377744635013,22.537078465490097,155.35669898086005,11.268539232745049,166.6252382136051,0.06334420121099209,1875,272,2147,12069,215.08737235761606,2011,136,0.12668840242198418,2.5,4.636667047871381,low-med,0.32125663888268813,998199,0.033046516776714864,0.07944107337314499,40277,0.4883059671605927
Montana,2012,167.60191450734445,18.897507839577486,148.70440666776696,11.965670902789238,155.6362436045552,0.07139340226489414,1802,229,2031,12118,202.06120335355934,1886,145,0.11275233874938453,2.5,4.909461920797941,low-med,0.3202297004525417,1005141,0.034646880387925676,0.08119855821223088,45088,0.42965768136118543
Montana,2013,148.82443241496324,17.774905065847943,131.0495273491153,12.846408661226468,135.97802375373675,0.08631921824104234,1622,220,1842,12377,181.44833598479065,1683,159,0.11943539630836048,2.833333333333333,4.8037747886259785,low-med,0.31726003447223666,1015165,0.03616850462732659,0.08260726088862402,43847,0.42965768136118543
Montana,2014,135.93951093951094,18.17889317889318,117.76061776061776,12.548262548262548,123.23037323037323,0.09230769230769231,1464,226,1690,12432,165.10694338199593,1532,156,0.13372781065088757,2.833333333333333,4.836487302539037,low-med,0.31506815810070443,1023579,0.03765415273271531,0.08349038032237865,51102,0.42965768136118543
Montana,2015,128.02988158626718,17.007073035047284,111.0228085512199,12.47715171262815,115.31431296193277,0.09745499689633767,1397,214,1611,12583,155.96123332323282,1451,157,0.13283674736188703,2.833333333333333,4.861277496915571,low-med,0.34427857496090025,1032949,0.039132619325833125,0.08464406277560654,51395,0.42965768136118543
Montana,2016,131.7375020354991,12.864354339684091,118.873147695815,13.190034196384953,118.38462791076373,0.10012360939431397,1460,158,1618,12282,155.20085945593368,1454,162,0.09765142150803462,2.833333333333333,4.739509237934943,low-med,0.32753658758654536,1042520,0.0403541418869662,0.08461804090089398,57075,0.38890335682975563
Montana,2017,132.29934740232224,12.373929994067295,119.92541740825494,11.52640054241885,120.77294685990339,0.08712363869314542,1415,146,1561,11799,148.59689688555756,1425,136,0.09352978859705317,2.5,4.6935331507892855,low-med,0.3373838704445937,1050493,0.04243055403510542,0.08200054641011412,57407,0.38890335682975563
Montana,2018,145.40085121167377,15.026491791887432,130.37435941978632,11.465300095544167,133.67497611395814,0.07885304659498207,1501,173,1674,11513,157.58186208292346,1539,132,0.1033452807646356,2.5,4.9109168875951115,low-med,0.34219184728634566,1062305,0.0432870032617751,0.08514880378045853,57679,0.38890335682975563
Montana,2019,141.52901886451846,15.34434515750519,126.18467370701326,11.733911002798086,129.79510786172037,0.08290816326530612,1398,170,1568,11079,146.70960667229303,1438,130,0.10841836734693877,2.5,4.9224982308852985,low-med,0.3813096378938105,1068778,0.044144808369932766,0.08375078828344151,60195,0.38890335682975563
Nebraska,2010,95.06906397098543,10.494636931862027,84.57442703912339,NA,NA,NA,2192,272,2464,25918,134.91456414765918,NA,NA,0.11038961038961038,6.166666666666667,5.724599541238366,med-med,0.3378427576518156,1826341,0.09575813060102138,0.07953334015936786,52504,0.4239092557783436
Nebraska,2011,92.2239502332815,8.942457231726284,83.28149300155522,NA,NA,NA,2142,230,2372,25720,128.72827642497913,NA,NA,0.09696458684654301,6.5,5.810088461286587,med-med,0.3259691333967958,1842641,0.09777650665539299,0.08344327516863026,55616,0.4239092557783436
Nebraska,2012,88.6207694086809,9.713977334052887,78.90679207462802,NA,NA,NA,2047,252,2299,25942,123.9002438662912,NA,NA,0.1096128751631144,7.833333333333333,6.251211472841963,high-high,0.3437927254102698,1855525,0.10018997318818124,0.08515271958071169,52196,0.38870609731774636
Nebraska,2013,83.42594366736922,7.0894807434374405,76.33646292393179,4.368652998658747,79.0189691511784,0.05236564079007809,1992,185,2177,26095,116.50957230229766,2062,114,0.08497932935231971,7.833333333333333,6.485734304880541,high-high,0.3471619528739811,1868516,0.10278905826870094,0.08711833347961695,54952.26530612245,0.38870609731774636
Nebraska,2014,84.72045980443383,10.226170038068224,74.4942897663656,5.560946480555348,78.97290438157796,0.06563876651982378,1996,274,2270,26794,120.64822644449677,2116,149,0.12070484581497798,7.833333333333333,6.600465865673898,high-high,0.3558774282423424,1881503,0.10491771737807487,0.08925523902964816,56870,0.38870609731774636
Nebraska,2015,75.11525919262341,8.58353011732074,66.53172907530268,5.84729562577308,69.26796356685034,0.07784431137724551,1775,229,2004,26679,105.68561167393563,1848,156,0.11427145708582834,7.833333333333333,6.6649955010955155,high-high,0.35752075617894685,1896190,0.10705836440441095,0.0926642372336105,60474,0.38870609731774636
Nebraska,2016,71.7213885441348,8.123660160216632,63.59772838391817,4.663582684568807,66.98258678400843,0.06502359727320399,1691,216,1907,26589,99.99391751734032,1781,124,0.11326691137912952,7.833333333333333,6.565811777624489,high-high,0.37743566015091645,1907116,0.10995136111280068,0.09371794898684715,59374,0.3645232588682243
